Event Name,Event Date,Result,Fighter1,Fighter2,KD,Strikes,TD,Sub,Weight Class,Method,Round,Time
UFC Fight Night: Vera vs. Sandhagen,"March 25, 2023",Cory Sandhagen,Cory Sandhagen,Marlon Vera,0-0,128-58,3-0,0-1,Bantamweight,S-DEC,5,5:00
UFC Fight Night: Vera vs. Sandhagen,"March 25, 2023",Holly Holm,Holly Holm,Yana Santos,0-0,32-21,4-0,0-0,Women's Bantamweight,U-DEC,3,5:00
UFC Fight Night: Vera vs. Sandhagen,"March 25, 2023",Nate Landwehr,Nate Landwehr,Austin Lingo,0-0,64-48,1-0,1-0,Featherweight,SUB-Rear-Naked-Choke,2,4:11
UFC Fight Night: Vera vs. Sandhagen,"March 25, 2023",Maycee Barber,Maycee Barber,Andrea Lee,0-0,48-39,2-5,0-0,Women's Flyweight,S-DEC,3,5:00
UFC Fight Night: Vera vs. Sandhagen,"March 25, 2023",Albert Duraev,Albert Duraev,Chidi Njokuani,0-0,45-40,2-0,0-0,Middleweight,S-DEC,3,5:00
UFC Fight Night: Vera vs. Sandhagen,"March 25, 2023",Daniel Pineda,Daniel Pineda,Tucker Lutz,1-0,24-28,1-0,2-0,Featherweight,SUB-Guillotine-Choke,2,2:50
UFC Fight Night: Vera vs. Sandhagen,"March 25, 2023",Lucas Alexander,Lucas Alexander,Steven Peterson,1-0,85-26,0-0,0-0,Featherweight,U-DEC,3,5:00
UFC Fight Night: Vera vs. Sandhagen,"March 25, 2023",Trevin Giles,Trevin Giles,Preston Parsons,0-0,55-42,0-3,0-3,Welterweight,S-DEC,3,5:00
UFC Fight Night: Vera vs. Sandhagen,"March 25, 2023",CJ Vergara,CJ Vergara,Daniel Lacerda,0-2,83-48,0-1,1-2,Flyweight,KO/TKO-Elbows,2,4:04
UFC Fight Night: Vera vs. Sandhagen,"March 25, 2023",Victor Altamirano,Victor Altamirano,Vinicius Salvador,0-0,62-47,3-1,0-0,Flyweight,U-DEC,3,5:00
UFC 286: Edwards vs. Usman 3,"March 18, 2023",Leon Edwards,Leon Edwards,Kamaru Usman,0-0,120-87,0-4,0-0,Welterweight,M-DEC,5,5:00
UFC 286: Edwards vs. Usman 3,"March 18, 2023",Justin Gaethje,Justin Gaethje,Rafael Fiziev,0-0,103-97,1-0,0-0,Lightweight,M-DEC,3,5:00
UFC 286: Edwards vs. Usman 3,"March 18, 2023",Gunnar Nelson,Gunnar Nelson,Bryan Barberena,0-0,10-7,1-0,1-0,Welterweight,SUB-Armbar,1,4:51
UFC 286: Edwards vs. Usman 3,"March 18, 2023",Jennifer Maia,Jennifer Maia,Casey O'Neill,0-0,145-137,0-0,0-0,Women's Flyweight,U-DEC,3,5:00
UFC 286: Edwards vs. Usman 3,"March 18, 2023",Marvin Vettori,Marvin Vettori,Roman Dolidze,0-0,106-71,0-0,0-0,Middleweight,U-DEC,3,5:00
UFC 286: Edwards vs. Usman 3,"March 18, 2023",Jack Shore,Jack Shore,Makwan Amirkhani,0-0,28-10,1-1,1-0,Featherweight,SUB-Rear-Naked-Choke,2,4:27
UFC 286: Edwards vs. Usman 3,"March 18, 2023",Chris Duncan,Chris Duncan,Omar Morales,0-0,53-47,5-0,0-0,Lightweight,S-DEC,3,5:00
UFC 286: Edwards vs. Usman 3,"March 18, 2023",Yanal Ashmouz,Yanal Ashmouz,Sam Patterson,0-0,15-2,1-0,0-0,Lightweight,KO/TKO-Punches,1,1:15
UFC 286: Edwards vs. Usman 3,"March 18, 2023",Muhammad Mokaev,Muhammad Mokaev,Jafel Filho,0-0,16-9,4-0,2-2,Flyweight,SUB-Neck-Crank,3,4:32
UFC 286: Edwards vs. Usman 3,"March 18, 2023",Lerone Murphy,Lerone Murphy,Gabriel Santos,0-0,93-69,1-5,0-0,Featherweight,S-DEC,3,5:00
UFC 286: Edwards vs. Usman 3,"March 18, 2023",Christian Duncan,Christian Duncan,Dusko Todorovic,0-0,9-4,0-0,0-0,Middleweight,KO/TKO,1,1:52
UFC 286: Edwards vs. Usman 3,"March 18, 2023",Jake Hadley,Jake Hadley,Malcolm Gordon,1-0,10-3,0-0,0-0,Flyweight,KO/TKO-Punch,1,1:01
UFC 286: Edwards vs. Usman 3,"March 18, 2023",Joanne Wood,Joanne Wood,Luana Carolina,0-0,131-100,2-0,0-0,Women's Flyweight,S-DEC,3,5:00
UFC 286: Edwards vs. Usman 3,"March 18, 2023",Draw,Jai Herbert,Ludovit Klein,0-0,43-47,1-2,0-0,Lightweight,M-DEC,3,5:00
UFC 286: Edwards vs. Usman 3,"March 18, 2023",Veronica Hardy,Veronica Hardy,Juliana Miller,0-0,62-30,4-0,0-3,Women's Flyweight,U-DEC,3,5:00
UFC Fight Night: Yan vs. Dvalishvili,"March 11, 2023",Merab Dvalishvili,Merab Dvalishvili,Petr Yan,0-0,147-75,11-1,0-0,Bantamweight,U-DEC,5,5:00
UFC Fight Night: Yan vs. Dvalishvili,"March 11, 2023",Alexander Volkov,Alexander Volkov,Alexandr Romanov,0-0,12-0,0-0,0-0,Heavyweight,KO/TKO-Punches,1,2:16
UFC Fight Night: Yan vs. Dvalishvili,"March 11, 2023",Nikita Krylov,Nikita Krylov,Ryan Spann,0-0,7-5,2-1,2-1,Catch Weight,SUB-Triangle-Choke,1,3:38
UFC Fight Night: Yan vs. Dvalishvili,"March 11, 2023",Jonathan Martinez,Jonathan Martinez,Said Nurmagomedov,0-0,38-47,0-3,1-2,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Yan vs. Dvalishvili,"March 11, 2023",Mario Bautista,Mario Bautista,Guido Cannetti,0-0,3-2,3-1,1-0,Bantamweight,SUB-Rear-Naked-Choke,1,3:18
UFC Fight Night: Yan vs. Dvalishvili,"March 11, 2023",Vitor Petrino,Vitor Petrino,Anton Turkalj,0-0,39-33,7-5,1-0,Light Heavyweight,U-DEC,3,5:00
UFC Fight Night: Yan vs. Dvalishvili,"March 11, 2023",Karl Williams,Karl Williams,Lukasz Brzeski,1-0,38-26,8-0,0-0,Heavyweight,U-DEC,3,5:00
UFC Fight Night: Yan vs. Dvalishvili,"March 11, 2023",Davey Grant,Davey Grant,Raphael Assuncao,1-0,65-42,0-5,1-0,Bantamweight,SUB-Inverted-Triangle,3,4:43
UFC Fight Night: Yan vs. Dvalishvili,"March 11, 2023",Josh Fremd,Josh Fremd,Sedriques Dumas,0-0,33-20,2-0,2-0,Middleweight,SUB-Guillotine-Choke,2,3:00
UFC Fight Night: Yan vs. Dvalishvili,"March 11, 2023",Victor Henry,Victor Henry,Tony Gravely,0-0,154-75,0-3,2-0,Bantamweight,S-DEC,3,5:00
UFC Fight Night: Yan vs. Dvalishvili,"March 11, 2023",Ariane Lipski,Ariane Lipski,JJ Aldrich,0-0,101-49,2-0,0-0,Women's Flyweight,U-DEC,3,5:00
UFC Fight Night: Yan vs. Dvalishvili,"March 11, 2023",Bruno Silva,Bruno Silva,Tyson Nam,1-0,23-12,0-0,1-0,Flyweight,SUB-Rear-Naked-Choke,2,1:23
UFC Fight Night: Yan vs. Dvalishvili,"March 11, 2023",Carlston Harris,Carlston Harris,Jared Gooden,0-0,63-51,5-0,0-0,Welterweight,U-DEC,3,5:00
UFC 285: Jones vs. Gane,"March 04, 2023",Jon Jones,Jon Jones,Ciryl Gane,0-0,5-6,2-0,1-0,Heavyweight,SUB-Guillotine-Choke,1,2:04
UFC 285: Jones vs. Gane,"March 04, 2023",Alexa Grasso,Alexa Grasso,Valentina Shevchenko,0-0,59-87,0-4,1-0,Women's Flyweight,SUB-Rear-Naked-Choke,4,4:34
UFC 285: Jones vs. Gane,"March 04, 2023",Shavkat Rakhmonov,Shavkat Rakhmonov,Geoff Neal,0-0,113-69,0-0,1-0,Welterweight,SUB-Rear-Naked-Choke,3,4:17
UFC 285: Jones vs. Gane,"March 04, 2023",Mateusz Gamrot,Mateusz Gamrot,Jalin Turner,0-1,29-40,4-0,0-0,Lightweight,S-DEC,3,5:00
UFC 285: Jones vs. Gane,"March 04, 2023",Bo Nickal,Bo Nickal,Jamie Pickett,0-0,1-1,1-0,2-0,Middleweight,SUB-Arm-Triangle,1,2:54
UFC 285: Jones vs. Gane,"March 04, 2023",Cody Garbrandt,Cody Garbrandt,Trevin Jones,0-0,26-20,2-1,0-1,Bantamweight,U-DEC,3,5:00
UFC 285: Jones vs. Gane,"March 04, 2023",Dricus Du Plessis,Dricus Du Plessis,Derek Brunson,1-0,71-37,1-1,1-1,Middleweight,KO/TKO-Punches,2,4:59
UFC 285: Jones vs. Gane,"March 04, 2023",Amanda Ribas,Amanda Ribas,Viviane Araujo,0-0,98-46,2-0,0-2,Women's Flyweight,U-DEC,3,5:00
UFC 285: Jones vs. Gane,"March 04, 2023",Marc-Andre Barriault,Marc-Andre Barriault,Julian Marquez,0-0,109-82,0-0,0-0,Middleweight,KO/TKO-Punches,2,4:12
UFC 285: Jones vs. Gane,"March 04, 2023",Ian Garry,Ian Garry,Song Kenan,1-1,127-55,0-2,0-0,Welterweight,KO/TKO-Punches,3,4:22
UFC 285: Jones vs. Gane,"March 04, 2023",Cameron Saaiman,Cameron Saaiman,Mana Martinez,1-0,117-60,1-0,0-0,Bantamweight,M-DEC,3,5:00
UFC 285: Jones vs. Gane,"March 04, 2023",Tabatha Ricci,Tabatha Ricci,Jessica Penne,0-0,36-6,4-0,1-0,Women's Strawweight,SUB-Armbar,2,2:14
UFC 285: Jones vs. Gane,"March 04, 2023",Farid Basharat,Farid Basharat,Da'Mon Blackshear,0-0,58-46,3-1,0-1,Bantamweight,U-DEC,3,5:00
UFC 285: Jones vs. Gane,"March 04, 2023",Loik Radzhabov,Loik Radzhabov,Esteban Ribovics,0-1,40-66,11-0,0-1,Lightweight,U-DEC,3,5:00
UFC Fight Night: Muniz vs. Allen,"February 25, 2023",Brendan Allen,Brendan Allen,Andre Muniz,0-0,42-43,1-0,2-0,Middleweight,SUB-Rear-Naked-Choke,3,4:25
UFC Fight Night: Muniz vs. Allen,"February 25, 2023",Augusto Sakai,Augusto Sakai,Don'Tale Mayes,0-0,53-29,1-0,0-0,Heavyweight,U-DEC,3,5:00
UFC Fight Night: Muniz vs. Allen,"February 25, 2023",Tatiana Suarez,Tatiana Suarez,Montana De La Rosa,0-0,10-5,2-0,1-0,Women's Flyweight,SUB-Guillotine-Choke,2,2:51
UFC Fight Night: Muniz vs. Allen,"February 25, 2023",Mike Malott,Mike Malott,Yohan Lainesse,0-0,9-1,1-0,1-0,Welterweight,SUB-Arm-Triangle,1,4:15
UFC Fight Night: Muniz vs. Allen,"February 25, 2023",Trevor Peek,Trevor Peek,Erick Gonzalez,2-0,51-7,0-4,0-0,Lightweight,KO/TKO-Punch,1,4:59
UFC Fight Night: Muniz vs. Allen,"February 25, 2023",Jasmine Jasudavicius,Jasmine Jasudavicius,Gabriella Fernandes,0-0,24-26,4-0,0-0,Women's Flyweight,U-DEC,3,5:00
UFC Fight Night: Muniz vs. Allen,"February 25, 2023",Jordan Leavitt,Jordan Leavitt,Victor Martinez,1-0,17-7,0-0,0-0,Lightweight,KO/TKO-Knees,1,2:27
UFC Fight Night: Muniz vs. Allen,"February 25, 2023",Ode Osbourne,Ode Osbourne,Charles Johnson,0-0,48-60,3-1,0-0,Catch Weight,S-DEC,3,5:00
UFC Fight Night: Muniz vs. Allen,"February 25, 2023",Joe Solecki,Joe Solecki,Carl Deaton,0-0,2-1,2-0,3-0,Lightweight,SUB-Rear-Naked-Choke,2,4:55
UFC Fight Night: Muniz vs. Allen,"February 25, 2023",Nurullo Aliev,Nurullo Aliev,Rafael Alves,0-0,19-6,3-0,0-2,Lightweight,M-DEC,3,5:00
UFC Fight Night: Andrade vs. Blanchfield,"February 18, 2023",Erin Blanchfield,Erin Blanchfield,Jessica Andrade,0-0,51-53,1-0,1-0,Women's Flyweight,SUB-Rear-Naked-Choke,2,1:37
UFC Fight Night: Andrade vs. Blanchfield,"February 18, 2023",Zac Pauga,Zac Pauga,Jordan Wright,0-0,59-29,0-0,0-0,Light Heavyweight,U-DEC,3,5:00
UFC Fight Night: Andrade vs. Blanchfield,"February 18, 2023",Jamal Pogues,Jamal Pogues,Josh Parisian,0-0,33-37,5-1,0-0,Heavyweight,U-DEC,3,5:00
UFC Fight Night: Andrade vs. Blanchfield,"February 18, 2023",Marcin Prachnio,Marcin Prachnio,William Knight,0-0,79-8,0-0,0-0,Light Heavyweight,U-DEC,3,5:00
UFC Fight Night: Andrade vs. Blanchfield,"February 18, 2023",Alexander Hernandez,Alexander Hernandez,Jim Miller,0-0,108-67,0-0,0-1,Lightweight,U-DEC,3,5:00
UFC Fight Night: Andrade vs. Blanchfield,"February 18, 2023",Nazim Sadykhov,Nazim Sadykhov,Evan Elder,0-1,64-70,1-1,0-0,Lightweight,KO/TKO,3,0:38
UFC Fight Night: Andrade vs. Blanchfield,"February 18, 2023",Mayra Bueno Silva,Mayra Bueno Silva,Lina Lansberg,0-0,39-25,2-0,1-0,Women's Bantamweight,SUB-Kneebar,2,4:45
UFC Fight Night: Andrade vs. Blanchfield,"February 18, 2023",Jamall Emmers,Jamall Emmers,Khusein Askhabov,0-0,62-30,1-0,0-0,Featherweight,U-DEC,3,5:00
UFC Fight Night: Andrade vs. Blanchfield,"February 18, 2023",Philipe Lins,Philipe Lins,Ovince Saint Preux,1-0,18-1,0-0,0-0,Light Heavyweight,KO/TKO-Punch,1,0:49
UFC Fight Night: Andrade vs. Blanchfield,"February 18, 2023",AJ Fletcher,AJ Fletcher,Themba Gorimbo,0-0,7-6,0-2,1-0,Welterweight,SUB-Guillotine-Choke,2,1:37
UFC Fight Night: Andrade vs. Blanchfield,"February 18, 2023",Clayton Carpenter,Clayton Carpenter,Juancamilo Ronderos,0-0,3-1,0-1,3-0,Flyweight,SUB-Rear-Naked-Choke,1,3:13
UFC 284: Makhachev vs. Volkanovski,"February 11, 2023",Islam Makhachev,Islam Makhachev,Alexander Volkanovski,0-1,57-70,4-0,0-0,Lightweight,U-DEC,5,5:00
UFC 284: Makhachev vs. Volkanovski,"February 11, 2023",Yair Rodriguez,Yair Rodriguez,Josh Emmett,0-0,62-22,0-1,1-0,Featherweight,SUB-Triangle-Choke,2,4:19
UFC 284: Makhachev vs. Volkanovski,"February 11, 2023",Jack Della Maddalena,Jack Della Maddalena,Randy Brown,1-0,14-11,0-0,1-0,Welterweight,SUB-Rear-Naked-Choke,1,2:13
UFC 284: Makhachev vs. Volkanovski,"February 11, 2023",Justin Tafa,Justin Tafa,Parker Porter,1-0,8-7,0-0,0-0,Heavyweight,KO/TKO-Punch,1,1:06
UFC 284: Makhachev vs. Volkanovski,"February 11, 2023",Draw,Jimmy Crute,Alonzo Menifield,0-2,31-56,6-0,3-0,Light Heavyweight,M-DEC,3,5:00
UFC 284: Makhachev vs. Volkanovski,"February 11, 2023",Modestas Bukauskas,Modestas Bukauskas,Tyson Pedro,0-0,44-45,0-2,0-0,Light Heavyweight,U-DEC,3,5:00
UFC 284: Makhachev vs. Volkanovski,"February 11, 2023",Josh Culibao,Josh Culibao,Melsik Baghdasaryan,0-0,16-26,0-0,1-0,Featherweight,SUB-Rear-Naked-Choke,2,2:02
UFC 284: Makhachev vs. Volkanovski,"February 11, 2023",Kleydson Rodrigues,Kleydson Rodrigues,Shannon Ross,1-0,14-1,0-0,0-0,Flyweight,KO/TKO-Punches,1,0:59
UFC 284: Makhachev vs. Volkanovski,"February 11, 2023",Jamie Mullarkey,Jamie Mullarkey,Francisco Prado,0-0,59-28,3-0,0-1,Lightweight,U-DEC,3,5:00
UFC 284: Makhachev vs. Volkanovski,"February 11, 2023",Jack Jenkins,Jack Jenkins,Don Shainis,0-0,82-50,4-1,0-2,Featherweight,U-DEC,3,5:00
UFC 284: Makhachev vs. Volkanovski,"February 11, 2023",Loma Lookboonmee,Loma Lookboonmee,Elise Reed,0-0,17-17,2-0,1-0,Women's Strawweight,SUB-Rear-Naked-Choke,2,0:44
UFC 284: Makhachev vs. Volkanovski,"February 11, 2023",Blake Bilder,Blake Bilder,Shane Young,0-0,111-80,1-0,0-0,Featherweight,U-DEC,3,5:00
UFC 284: Makhachev vs. Volkanovski,"February 11, 2023",Elves Brener,Elves Brener,Zubaira Tukhugov,0-0,69-70,0-0,0-0,Lightweight,S-DEC,3,5:00
UFC Fight Night: Lewis vs. Spivac,"February 04, 2023",Serghei Spivac,Serghei Spivac,Derrick Lewis,0-0,12-0,6-0,1-0,Heavyweight,SUB-Arm-Triangle,1,3:05
UFC Fight Night: Lewis vs. Spivac,"February 04, 2023",Devin Clark,Devin Clark,Da Woon Jung,0-0,39-18,3-1,0-0,Light Heavyweight,U-DEC,3,5:00
UFC Fight Night: Lewis vs. Spivac,"February 04, 2023",Marcin Tybura,Marcin Tybura,Blagoy Ivanov,0-0,40-34,1-0,0-0,Heavyweight,U-DEC,3,5:00
UFC Fight Night: Lewis vs. Spivac,"February 04, 2023",Draw,Dooho Choi,Kyle Nelson,0-0,50-20,0-5,0-0,Featherweight,M-DEC,3,5:00
UFC Fight Night: Lewis vs. Spivac,"February 04, 2023",Adam Fugitt,Adam Fugitt,Yusaku Kinoshita,0-0,21-10,4-0,0-0,Welterweight,KO/TKO-Elbows,1,4:36
UFC Fight Night: Lewis vs. Spivac,"February 04, 2023",Anshul Jubli,Anshul Jubli,Jeka Saragih,0-0,38-14,2-0,1-0,Lightweight,KO/TKO-Elbows,2,3:44
UFC Fight Night: Lewis vs. Spivac,"February 04, 2023",JeongYeong Lee,JeongYeong Lee,Yi Zha,0-0,25-24,0-5,0-0,Featherweight,S-DEC,3,5:00
UFC Fight Night: Lewis vs. Spivac,"February 04, 2023",Rinya Nakamura,Rinya Nakamura,Toshiomi Kazama,2-0,11-4,0-0,0-0,Bantamweight,KO/TKO-Punch,1,0:33
UFC Fight Night: Lewis vs. Spivac,"February 04, 2023",HyunSung Park,HyunSung Park,SeungGuk Choi,0-1,38-20,1-0,3-0,Flyweight,SUB-Rear-Naked-Choke,3,3:11
UFC Fight Night: Lewis vs. Spivac,"February 04, 2023",JunYong Park,JunYong Park,Denis Tiuliulin,0-0,25-8,1-0,1-0,Middleweight,SUB-Rear-Naked-Choke,1,4:05
UFC Fight Night: Lewis vs. Spivac,"February 04, 2023",Tatsuro Taira,Tatsuro Taira,Jesus Aguilar,0-0,1-2,1-0,2-1,Flyweight,SUB-Triangle-Armbar,1,4:20
UFC 283: Teixeira vs. Hill,"January 21, 2023",Jamahal Hill,Jamahal Hill,Glover Teixeira,0-0,232-75,0-2,0-0,Light Heavyweight,U-DEC,5,5:00
UFC 283: Teixeira vs. Hill,"January 21, 2023",Brandon Moreno,Brandon Moreno,Deiveson Figueiredo,0-0,48-19,3-1,0-2,Flyweight,KO/TKO,3,5:00
UFC 283: Teixeira vs. Hill,"January 21, 2023",Gilbert Burns,Gilbert Burns,Neil Magny,0-0,5-4,1-0,1-0,Welterweight,SUB-Arm-Triangle,1,4:15
UFC 283: Teixeira vs. Hill,"January 21, 2023",Jessica Andrade,Jessica Andrade,Lauren Murphy,0-0,231-100,1-0,0-0,Women's Flyweight,U-DEC,3,5:00
UFC 283: Teixeira vs. Hill,"January 21, 2023",Johnny Walker,Johnny Walker,Paul Craig,1-0,16-3,0-0,0-0,Light Heavyweight,KO/TKO-Punches,1,2:16
UFC 283: Teixeira vs. Hill,"January 21, 2023",Ihor Potieria,Ihor Potieria,Mauricio Rua,1-0,21-17,0-0,0-0,Light Heavyweight,KO/TKO-Punches,1,4:05
UFC 283: Teixeira vs. Hill,"January 21, 2023",Brunno Ferreira,Brunno Ferreira,Gregory Rodrigues,1-0,22-21,0-0,0-0,Middleweight,KO/TKO-Punch,1,4:13
UFC 283: Teixeira vs. Hill,"January 21, 2023",Thiago Moises,Thiago Moises,Melquizael Costa,0-0,22-23,4-0,1-0,Lightweight,SUB-Rear-Naked-Choke,2,4:05
UFC 283: Teixeira vs. Hill,"January 21, 2023",Gabriel Bonfim,Gabriel Bonfim,Mounir Lazzez,0-0,9-9,0-0,1-0,Welterweight,SUB-Guillotine-Choke,1,0:49
UFC 283: Teixeira vs. Hill,"January 21, 2023",Jailton Almeida,Jailton Almeida,Shamil Abdurakhimov,0-0,45-1,3-0,0-0,Heavyweight,KO/TKO-Punches,2,2:56
UFC 283: Teixeira vs. Hill,"January 21, 2023",Cody Stamann,Cody Stamann,Luan Lacerda,0-0,103-80,0-1,0-0,Bantamweight,U-DEC,3,5:00
UFC 283: Teixeira vs. Hill,"January 21, 2023",Ismael Bonfim,Ismael Bonfim,Terrance McKinney,1-0,34-14,1-0,0-0,Lightweight,KO/TKO-Flying-Knee,2,2:17
UFC 283: Teixeira vs. Hill,"January 21, 2023",Nicolas Dalby,Nicolas Dalby,Warlley Alves,0-0,119-66,0-1,0-0,Welterweight,S-DEC,3,5:00
UFC 283: Teixeira vs. Hill,"January 21, 2023",Josiane Nunes,Josiane Nunes,Zarah Fairn,0-0,102-117,0-0,0-0,Women's Featherweight,U-DEC,3,5:00
UFC 283: Teixeira vs. Hill,"January 21, 2023",Daniel Marcos,Daniel Marcos,Saimon Oliveira,1-0,53-23,0-0,0-0,Bantamweight,KO/TKO-Knees,2,2:18
UFC Fight Night: Strickland vs. Imavov,"January 14, 2023",Sean Strickland,Sean Strickland,Nassourdine Imavov,0-0,182-123,1-0,0-0,Light Heavyweight,U-DEC,5,5:00
UFC Fight Night: Strickland vs. Imavov,"January 14, 2023",Dan Ige,Dan Ige,Damon Jackson,1-0,34-36,1-0,0-0,Featherweight,KO/TKO-Punch,2,4:13
UFC Fight Night: Strickland vs. Imavov,"January 14, 2023",Roman Kopylov,Roman Kopylov,Punahele Soriano,0-0,82-39,1-0,0-0,Middleweight,KO/TKO-Kick,2,3:19
UFC Fight Night: Strickland vs. Imavov,"January 14, 2023",Raquel Pennington,Raquel Pennington,Ketlen Vieira,0-0,81-64,0-0,0-0,Women's Bantamweight,S-DEC,3,5:00
UFC Fight Night: Strickland vs. Imavov,"January 14, 2023",Umar Nurmagomedov,Umar Nurmagomedov,Raoni Barcelos,1-0,36-13,0-0,0-0,Bantamweight,KO/TKO-Punch,1,4:40
UFC Fight Night: Strickland vs. Imavov,"January 14, 2023",Javid Basharat,Javid Basharat,Mateus Mendonca,0-0,95-29,3-2,0-0,Bantamweight,U-DEC,3,5:00
UFC Fight Night: Strickland vs. Imavov,"January 14, 2023",Abdul Razak Alhassan,Abdul Razak Alhassan,Claudio Ribeiro,1-0,17-19,0-0,0-0,Middleweight,KO/TKO-Punches,2,0:28
UFC Fight Night: Strickland vs. Imavov,"January 14, 2023",Mateusz Rebecki,Mateusz Rebecki,Nick Fiore,0-0,89-34,3-1,0-0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Strickland vs. Imavov,"January 14, 2023",Allan Nascimento,Allan Nascimento,Carlos Hernandez,0-0,6-3,2-0,1-0,Flyweight,SUB-Rear-Naked-Choke,1,3:16
UFC Fight Night: Strickland vs. Imavov,"January 14, 2023",Dan Argueta,Dan Argueta,Nick Aguirre,0-0,47-14,4-0,2-1,Featherweight,U-DEC,3,5:00
UFC Fight Night: Strickland vs. Imavov,"January 14, 2023",Charles Johnson,Charles Johnson,Jimmy Flick,0-0,34-7,0-1,0-0,Flyweight,KO/TKO-Punches,1,4:33
UFC Fight Night: Cannonier vs. Strickland,"December 17, 2022",Jared Cannonier,Jared Cannonier,Sean Strickland,0-0,141-152,0-1,0-0,Middleweight,S-DEC,5,5:00
UFC Fight Night: Cannonier vs. Strickland,"December 17, 2022",Arman Tsarukyan,Arman Tsarukyan,Damir Ismagulov,0-0,34-36,7-0,0-0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Strickland,"December 17, 2022",Amir Albazi,Amir Albazi,Alessandro Costa,2-0,37-17,1-0,0-0,Flyweight,KO/TKO-Punch,3,2:13
UFC Fight Night: Cannonier vs. Strickland,"December 17, 2022",Alex Caceres,Alex Caceres,Julian Erosa,1-0,16-10,0-0,0-0,Featherweight,KO/TKO-Kick,1,3:04
UFC Fight Night: Cannonier vs. Strickland,"December 17, 2022",Drew Dober,Drew Dober,Bobby Green,1-0,34-73,0-0,0-0,Lightweight,KO/TKO-Punch,2,2:45
UFC Fight Night: Cannonier vs. Strickland,"December 17, 2022",Michal Oleksiejczuk,Michal Oleksiejczuk,Cody Brundage,0-0,15-0,0-3,0-0,Middleweight,KO/TKO-Punch,1,3:16
UFC Fight Night: Cannonier vs. Strickland,"December 17, 2022",Cory McKenna,Cory McKenna,Cheyanne Vlismas,0-0,22-33,2-0,0-1,Women's Strawweight,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Strickland,"December 17, 2022",Matthew Semelsberger,Matthew Semelsberger,Jake Matthews,3-0,45-32,3-1,0-1,Welterweight,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Strickland,"December 17, 2022",Said Nurmagomedov,Said Nurmagomedov,Saidyokub Kakhramonov,0-0,7-11,0-5,3-1,Bantamweight,SUB-Guillotine-Choke,2,3:50
UFC Fight Night: Cannonier vs. Strickland,"December 17, 2022",Rafa Garcia,Rafa Garcia,Maheshate,0-0,49-25,6-0,0-0,Lightweight,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Strickland,"December 17, 2022",Rinat Fakhretdinov,Rinat Fakhretdinov,Bryan Battle,1-0,43-3,7-0,0-0,Welterweight,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Strickland,"December 17, 2022",Manel Kape,Manel Kape,David Dvorak,1-0,58-33,0-2,2-0,Flyweight,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Strickland,"December 17, 2022",Sergey Morozov,Sergey Morozov,Journey Newson,0-0,30-26,6-0,0-0,Bantamweight,U-DEC,3,5:00
UFC 282: Blachowicz vs. Ankalaev,"December 10, 2022",Draw,Jan Blachowicz,Magomed Ankalaev,0-0,55-78,0-2,0-0,Light Heavyweight,S-DEC,5,5:00
UFC 282: Blachowicz vs. Ankalaev,"December 10, 2022",Paddy Pimblett,Paddy Pimblett,Jared Gordon,0-0,63-60,0-3,0-0,Lightweight,U-DEC,3,5:00
UFC 282: Blachowicz vs. Ankalaev,"December 10, 2022",Santiago Ponzinibbio,Santiago Ponzinibbio,Alex Morono,1-1,66-38,0-0,0-0,Catch Weight,KO/TKO-Punches,3,2:29
UFC 282: Blachowicz vs. Ankalaev,"December 10, 2022",Dricus Du Plessis,Dricus Du Plessis,Darren Till,0-0,86-35,6-1,3-0,Middleweight,SUB-Neck-Crank,3,2:43
UFC 282: Blachowicz vs. Ankalaev,"December 10, 2022",Ilia Topuria,Ilia Topuria,Bryce Mitchell,1-0,40-36,0-1,1-0,Featherweight,SUB-Arm-Triangle,2,3:10
UFC 282: Blachowicz vs. Ankalaev,"December 10, 2022",Raul Rosas Jr.,Raul Rosas Jr.,Jay Perrin,0-0,3-4,2-0,2-0,Bantamweight,SUB-Neck-Crank,1,2:44
UFC 282: Blachowicz vs. Ankalaev,"December 10, 2022",Jairzinho Rozenstruik,Jairzinho Rozenstruik,Chris Daukaus,1-0,12-1,0-0,0-0,Heavyweight,KO/TKO-Punch,1,0:23
UFC 282: Blachowicz vs. Ankalaev,"December 10, 2022",Edmen Shahbazyan,Edmen Shahbazyan,Dalcha Lungiambula,0-0,54-23,0-0,0-0,Middleweight,KO/TKO-Punches,2,4:41
UFC 282: Blachowicz vs. Ankalaev,"December 10, 2022",Chris Curtis,Chris Curtis,Joaquin Buckley,1-0,36-50,0-0,0-0,Middleweight,KO/TKO-Punch,2,2:49
UFC 282: Blachowicz vs. Ankalaev,"December 10, 2022",Billy Quarantillo,Billy Quarantillo,Alexander Hernandez,0-0,87-48,2-2,0-1,Featherweight,KO/TKO-Punches,2,4:30
